occupancy_id,facility_id,facility_name,category,terminal,timestamp,occupancy_count,capacity,occupancy_ratio,crowd_level
OCC000001,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 00:00:00,23,40,0.58,medium
OCC000002,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 01:00:00,20,40,0.5,medium
OCC000003,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 02:00:00,20,40,0.49,medium
OCC000004,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 03:00:00,21,40,0.53,medium
OCC000005,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 04:00:00,25,40,0.63,medium
OCC000006,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 05:00:00,25,40,0.63,medium
OCC000007,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 06:00:00,32,40,0.8,high
OCC000008,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 07:00:00,32,40,0.79,high
OCC000009,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 08:00:00,38,40,0.95,high
OCC000010,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 09:00:00,35,40,0.86,high
OCC000011,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 10:00:00,30,40,0.76,high
OCC000012,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 11:00:00,27,40,0.67,medium
OCC000013,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 12:00:00,25,40,0.64,medium
OCC000014,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 13:00:00,22,40,0.56,medium
OCC000015,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 14:00:00,22,40,0.55,medium
OCC000016,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 15:00:00,25,40,0.62,medium
OCC000017,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 16:00:00,37,40,0.91,high
OCC000018,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 17:00:00,36,40,0.9,high
OCC000019,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 18:00:00,35,40,0.87,high
OCC000020,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 19:00:00,33,40,0.81,high
OCC000021,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 20:00:00,31,40,0.78,high
OCC000022,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 21:00:00,27,40,0.67,medium
OCC000023,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 22:00:00,24,40,0.6,medium
OCC000024,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-21 23:00:00,21,40,0.51,medium
OCC000025,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 00:00:00,21,40,0.53,medium
OCC000026,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 01:00:00,21,40,0.52,medium
OCC000027,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 02:00:00,15,40,0.38,low
OCC000028,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 03:00:00,21,40,0.52,medium
OCC000029,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 04:00:00,24,40,0.61,medium
OCC000030,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 05:00:00,29,40,0.74,medium
OCC000031,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 06:00:00,30,40,0.75,high
OCC000032,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 07:00:00,40,40,0.99,high
OCC000033,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 08:00:00,34,40,0.84,high
OCC000034,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 09:00:00,30,40,0.76,high
OCC000035,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 10:00:00,28,40,0.71,medium
OCC000036,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 11:00:00,23,40,0.57,medium
OCC000037,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 12:00:00,23,40,0.58,medium
OCC000038,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 13:00:00,23,40,0.58,medium
OCC000039,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 14:00:00,23,40,0.56,medium
OCC000040,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 15:00:00,24,40,0.59,medium
OCC000041,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 16:00:00,27,40,0.67,medium
OCC000042,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 17:00:00,33,40,0.82,high
OCC000043,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 18:00:00,40,40,0.99,high
OCC000044,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 19:00:00,40,40,0.99,high
OCC000045,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 20:00:00,28,40,0.69,medium
OCC000046,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 21:00:00,29,40,0.73,medium
OCC000047,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 22:00:00,28,40,0.7,medium
OCC000048,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-22 23:00:00,21,40,0.52,medium
OCC000049,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 00:00:00,19,40,0.48,medium
OCC000050,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 01:00:00,19,40,0.48,medium
OCC000051,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 02:00:00,21,40,0.53,medium
OCC000052,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 03:00:00,21,40,0.52,medium
OCC000053,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 04:00:00,22,40,0.56,medium
OCC000054,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 05:00:00,30,40,0.74,medium
OCC000055,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 06:00:00,31,40,0.78,high
OCC000056,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 07:00:00,34,40,0.84,high
OCC000057,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 08:00:00,36,40,0.89,high
OCC000058,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 09:00:00,35,40,0.89,high
OCC000059,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 10:00:00,28,40,0.7,medium
OCC000060,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 11:00:00,28,40,0.7,medium
OCC000061,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 12:00:00,19,40,0.48,medium
OCC000062,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 13:00:00,23,40,0.57,medium
OCC000063,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 14:00:00,26,40,0.64,medium
OCC000064,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 15:00:00,29,40,0.71,medium
OCC000065,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 16:00:00,26,40,0.66,medium
OCC000066,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 17:00:00,35,40,0.87,high
OCC000067,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 18:00:00,34,40,0.85,high
OCC000068,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 19:00:00,34,40,0.86,high
OCC000069,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 20:00:00,34,40,0.86,high
OCC000070,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 21:00:00,26,40,0.65,medium
OCC000071,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 22:00:00,21,40,0.53,medium
OCC000072,FAC0001,Check-in Counter 1,checkin_counter,T1,2026-06-23 23:00:00,20,40,0.49,medium
OCC000073,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 00:00:00,20,40,0.5,medium
OCC000074,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 01:00:00,18,40,0.44,medium
